dt,beta,g,tau,trial,initMacro,initCoral,initTurf,macroalgae,coral,turf,lgMacro,lgCoral,lgTurf
0.000100,0.100000,0.300000,0.500000,259,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,260,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,261,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,262,0.282636,0.249101,0.468264,0.640270,0.000026,0.359704,0.633908,0.000023,0.366069
0.000100,0.100000,0.300000,0.500000,263,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,264,0.282636,0.249101,0.468264,0.568368,0.000245,0.431387,0.606328,0.000076,0.393596
0.000100,0.100000,0.300000,0.500000,265,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,266,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,267,0.282636,0.249101,0.468264,0.559679,0.000001,0.440320,0.602164,0.000007,0.397830
0.000100,0.100000,0.300000,0.500000,268,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,269,0.282636,0.249101,0.468264,0.007220,0.541182,0.451599,0.611000,0.000489,0.388511
0.000100,0.100000,0.300000,0.500000,270,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,271,0.282636,0.249101,0.468264,0.689757,0.000009,0.310234,0.650870,0.000012,0.349119
0.000100,0.100000,0.300000,0.500000,272,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,273,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,274,0.282636,0.249101,0.468264,0.685543,0.000024,0.314433,0.649577,0.000031,0.350392
0.000100,0.100000,0.300000,0.500000,275,0.282636,0.249101,0.468264,0.641485,0.000313,0.358202,0.634379,0.000088,0.365532
0.000100,0.100000,0.300000,0.500000,276,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,277,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,278,0.282636,0.249101,0.468264,0.596451,0.000018,0.403531,0.617232,0.000021,0.382747
0.000100,0.100000,0.300000,0.500000,279,0.282636,0.249101,0.468264,0.593997,0.000071,0.405932,0.616238,0.000077,0.383685
