dt,beta,g,tau,trial,theta,initMacro,initCoral,initTurf,lgMacro,lgCoral
1e-05,0.2,0.2,0.5,110,0.0981748,0.37326,3.8803e-08,0.62674,0.749486,6.59511e-11
1e-05,0.2,0.2,0.5,112,0.0981748,0.717759,7.54662e-11,0.282241,0.466405,4.91506e-13
1e-05,0.2,0.2,0.5,111,0.0981748,0.717902,7.54662e-11,0.282098,0.595917,4.95e-13
1e-05,0.2,0.2,0.5,114,0.0981748,0.505488,5.089e-13,0.494512,0.72677,5.35828e-05
1e-05,0.2,0.2,0.5,113,0.0981748,0.505564,5.089e-13,0.494436,0.778232,2.28021e-05
1e-05,0.2,0.2,0.5,116,0.0981748,0.766871,2.62355e-05,0.233103,0.698388,1.87621e-07
1e-05,0.2,0.2,0.5,115,0.0981748,0.766865,2.62355e-05,0.233109,0.662508,1.54737e-07
1e-05,0.2,0.2,0.5,117,0.0981748,0.687816,1.70554e-07,0.312184,0.639649,1.49395e-10
1e-05,0.2,0.2,0.5,118,0.0981748,0.68763,1.70554e-07,0.31237,0.63856,1.43239e-10
1e-05,0.2,0.2,0.5,119,0.0981748,0.65259,1.53846e-10,0.34741,0.733741,1.30822e-13
1e-05,0.2,0.2,0.5,120,0.0981748,0.652738,1.53846e-10,0.347262,0.73309,1.19105e-13
1e-05,0.2,0.2,0.5,121,0.0981748,0.735079,1.34878e-13,0.264921,0.701407,5.3055e-17
1e-05,0.2,0.2,0.5,122,0.0981748,0.735181,1.34878e-13,0.264819,0.783113,2.20378e-17
1e-05,0.2,0.2,0.5,123,0.0981748,0.798548,2.57777e-17,0.201452,0.737759,0.000112854
1e-05,0.2,0.2,0.5,124,0.0981748,0.798427,2.57777e-17,0.201573,0.746496,6.81108e-05
1e-05,0.2,0.2,0.5,125,0.0981748,0.749639,7.73356e-05,0.250283,0.73119,1.84716e-08
1e-05,0.2,0.2,0.5,126,0.0981748,0.749726,7.73356e-05,0.250197,0.730781,1.5021e-08
1e-05,0.2,0.2,0.5,128,0.0981748,0.731281,1.69925e-08,0.268719,0.668764,3.5189e-05
1e-05,0.2,0.2,0.5,127,0.0981748,0.73102,1.69925e-08,0.26898,0.700004,2.73764e-05
1e-05,0.2,0.2,0.5,130,0.0981748,0.696762,3.0404e-05,0.303208,0.727785,1.22227e-06
1e-05,0.2,0.2,0.5,129,0.0981748,0.696871,3.0404e-05,0.303099,0.738125,1.11601e-06
1e-05,0.2,0.2,0.5,131,0.0981748,0.698121,1.2836e-06,0.301878,0.410259,7.10625e-09
1e-05,0.2,0.2,0.5,132,0.0981748,0.698546,1.2836e-06,0.301453,0.613364,6.87431e-09
1e-05,0.2,0.2,0.5,134,0.0981748,0.559211,7.22471e-09,0.440789,0.626755,5.39098e-11
1e-05,0.2,0.2,0.5,133,0.0981748,0.559183,7.22471e-09,0.440817,0.63861,4.885e-11
1e-05,0.2,0.2,0.5,136,0.0981748,0.617117,5.23599e-11,0.382883,0.736947,3.16345e-14
1e-05,0.2,0.2,0.5,135,0.0981748,0.617272,5.23599e-11,0.382728,0.754181,2.28574e-14
1e-05,0.2,0.2,0.5,138,0.0981748,0.728423,2.58166e-14,0.271577,0.754211,3.33908e-05
1e-05,0.2,0.2,0.5,137,0.0981748,0.728401,2.58166e-14,0.271599,0.761877,3.0787e-05
1e-05,0.2,0.2,0.5,139,0.0981748,0.766191,3.76143e-05,0.233771,0.7911,2.4127e-08
1e-05,0.2,0.2,0.5,140,0.0981748,0.76616,3.76143e-05,0.233802,0.688444,1.94132e-08
1e-05,0.2,0.2,0.5,142,0.0981748,0.759237,2.18287e-08,0.240763,0.726726,4.51182e-11
1e-05,0.2,0.2,0.5,141,0.0981748,0.75908,2.18287e-08,0.24092,0.726726,4.51182e-11
1e-05,0.2,0.2,0.5,144,0.0981748,0.776444,5.19389e-11,0.223556,0.590654,8.85786e-14
1e-05,0.2,0.2,0.5,143,0.0981748,0.776045,5.19389e-11,0.223955,0.636862,7.61658e-14
1e-05,0.2,0.2,0.5,146,0.0981748,0.629977,8.16166e-14,0.370023,0.463039,0.00155224
1e-05,0.2,0.2,0.5,145,0.0981748,0.629975,8.16166e-14,0.370025,0.53563,0.00154617
1e-05,0.2,0.2,0.5,147,0.0981748,0.486901,0.00156301,0.511536,0.630892,0.0307472
1e-05,0.2,0.2,0.5,148,0.0981748,0.0597111,0.00588103,0.934408,0.615364,0.0302997
1e-05,0.2,0.2,0.5,149,0.0981748,0.653669,0.0332214,0.31311,0.649038,0.000702156
1e-05,0.2,0.2,0.5,150,0.0981748,0.653442,0.0332214,0.313337,0.768995,0.000382853
1e-05,0.2,0.2,0.5,151,0.0981748,0.798676,0.000444537,0.20088,0.792993,3.71916e-08
1e-05,0.2,0.2,0.5,152,0.0981748,0.798784,0.000444537,0.200771,0.73818,3.10415e-08
1e-05,0.2,0.2,0.5,154,0.0981748,0.760466,3.53729e-08,0.239534,0.476591,1.34699e-10
1e-05,0.2,0.2,0.5,153,0.0981748,0.760308,3.53729e-08,0.239692,0.488506,1.35411e-10
1e-05,0.2,0.2,0.5,156,0.0981748,0.351286,1.272e-10,0.648714,0.680588,2.26026e-13
1e-05,0.2,0.2,0.5,155,0.0981748,0.351024,1.272e-10,0.648976,0.672884,2.08217e-13
1e-05,0.2,0.2,0.5,157,0.0981748,0.676802,2.28385e-13,0.323198,0.624972,0.000145358
1e-05,0.2,0.2,0.5,158,0.0981748,0.67685,2.28385e-13,0.32315,0.681757,0.000122356
1e-05,0.2,0.2,0.5,160,0.0981748,0.646304,0.000133702,0.353562,0.741477,6.61124e-08
1e-05,0.2,0.2,0.5,159,0.0981748,0.645956,0.000133702,0.35391,0.730044,6.48248e-08
1e-05,0.2,0.2,0.5,162,0.0981748,0.689978,7.30577e-08,0.310022,0.669844,2.06833e-06
1e-05,0.2,0.2,0.5,161,0.0981748,0.689852,7.30577e-08,0.310148,0.721839,1.07522e-06
1e-05,0.2,0.2,0.5,164,0.0981748,0.739024,1.20526e-06,0.260975,0.669071,9.66785e-05
1e-05,0.2,0.2,0.5,163,0.0981748,0.739307,1.20526e-06,0.260691,0.722806,8.49508e-05
1e-05,0.2,0.2,0.5,166,0.0981748,0.66797,9.42678e-05,0.331936,0.770488,3.26621e-05
1e-05,0.2,0.2,0.5,165,0.0981748,0.667873,9.42678e-05,0.332032,0.727402,1.71546e-05
1e-05,0.2,0.2,0.5,167,0.0981748,0.692771,1.92217e-05,0.307209,0.667181,1.48722e-08
1e-05,0.2,0.2,0.5,168,0.0981748,0.692684,1.92217e-05,0.307297,0.668927,1.28924e-08
1e-05,0.2,0.2,0.5,170,0.0981748,0.670618,1.40492e-08,0.329382,0.611476,0.00057
1e-05,0.2,0.2,0.5,169,0.0981748,0.670847,1.40492e-08,0.329153,0.706502,0.000415844
1e-05,0.2,0.2,0.5,171,0.0981748,0.697009,0.000459914,0.302531,0.691196,3.44753e-07
1e-05,0.2,0.2,0.5,172,0.0981748,0.696841,0.000459914,0.302699,0.696629,3.1504e-07
1e-05,0.2,0.2,0.5,174,0.0981748,0.683755,3.49482e-07,0.316245,0.540767,0.000577699
1e-05,0.2,0.2,0.5,173,0.0981748,0.683781,3.49482e-07,0.316219,0.510161,0.00057462
1e-05,0.2,0.2,0.5,176,0.0981748,0.593787,0.000586833,0.405626,0.674327,1.37101e-06
1e-05,0.2,0.2,0.5,175,0.0981748,0.593655,0.000586833,0.405758,0.678478,1.05916e-06
1e-05,0.2,0.2,0.5,178,0.0981748,0.721672,1.17676e-06,0.278327,0.792919,2.08067e-08
1e-05,0.2,0.2,0.5,177,0.0981748,0.721709,1.17676e-06,0.27829,0.799603,1.49809e-08
1e-05,0.2,0.2,0.5,179,0.0981748,0.817675,1.76389e-08,0.182325,0.663752,0.000281244
1e-05,0.2,0.2,0.5,180,0.0981748,0.81781,1.76389e-08,0.18219,0.660911,0.000277859
1e-05,0.2,0.2,0.5,181,0.0981748,0.725272,0.000307743,0.27442,0.572842,2.23978e-07
1e-05,0.2,0.2,0.5,182,0.0981748,0.725386,0.000307743,0.274306,0.583087,2.10565e-07
1e-05,0.2,0.2,0.5,184,0.0981748,0.539983,2.15985e-07,0.460017,0.590625,1.22716e-09
1e-05,0.2,0.2,0.5,183,0.0981748,0.539748,2.15985e-07,0.460252,0.677356,1.13162e-09
1e-05,0.2,0.2,0.5,185,0.0981748,0.600362,1.21829e-09,0.399638,0.791902,0.000337171
1e-05,0.2,0.2,0.5,186,0.0981748,0.59995,1.21829e-09,0.40005,0.786134,0.00032989
1e-05,0.2,0.2,0.5,187,0.0981748,0.773776,0.000385404,0.225839,0.723503,3.4472e-06
1e-05,0.2,0.2,0.5,188,0.0981748,0.77388,0.000385404,0.225734,0.760583,3.18291e-06
1e-05,0.2,0.2,0.5,189,0.0981748,0.726423,3.55706e-06,0.273573,0.733212,3.68759e-09
1e-05,0.2,0.2,0.5,190,0.0981748,0.726467,3.55708e-06,0.27353,0.7247,2.67943e-09
1e-05,0.2,0.2,0.5,191,0.0981748,0.737786,3.02894e-09,0.262214,0.514182,2.07461e-11
1e-05,0.2,0.2,0.5,192,0.0981748,0.737909,3.02894e-09,0.262091,0.629475,1.97121e-11
1e-05,0.2,0.2,0.5,194,0.0981748,0.548816,2.06132e-11,0.451184,0.679365,2.49486e-14
1e-05,0.2,0.2,0.5,193,0.0981748,0.548834,2.06132e-11,0.451166,0.67575,2.35076e-14
1e-05,0.2,0.2,0.5,195,0.0981748,0.683647,2.57052e-14,0.316353,0.780724,2.47063e-15
